id,ticket_id,author_id,body,public,created_at
10000-1,10000,52619,"Hi, my delivry is running late, I ordered the yoga mat over a week ago.",True,2025-06-26T00:48:15
10000-2,10000,903,"I'm sorry for the trouble, checking your account now.",True,2025-06-26T03:16:15
10000-3,10000,52619,Do you have an updated delivery estimate?,True,2025-06-26T08:05:15
10000-4,10000,903,"I'm sorry for the trouble, checking your account now.",True,2025-06-26T08:18:15
10000-5,10000,52619,Any news?,True,2025-06-26T11:26:15
10000-6,10000,903,"This has been taken care of, apologies again for the inconvenience.",True,2025-06-26T13:03:15
10000-7,10000,52619,"Perfect, thank you.",True,2025-06-26T14:45:15
10001-1,10001,51083,Order #496922 was supposed to arrive on Jul 09 and it's stil not here. What's going on?,True,2025-07-12T19:37:34
10001-2,10001,925,"I'm sorry for the trouble, checking your account now.",True,2025-07-12T20:02:34
10001-3,10001,51083,Do you have an updated delivery estimate?,True,2025-07-12T21:03:34
10001-4,10001,925,"All set on our side now, thanks for your patience.",True,2025-07-13T00:19:34
10001-5,10001,51083,Thanks for the help!,True,2025-07-13T01:53:34
10002-1,10002,50669,"Hi, the leather wallet shows as out of stock, do you know when it'll be available again?",True,2025-08-24T05:32:40
10002-2,10002,914,"Thanks for the details, give me a moment to check on this.",True,2025-08-24T08:02:40
10002-3,10002,50669,Can I reserve one in advance?,True,2025-08-24T10:00:40
10002-4,10002,914,"I understand the frustration, let's get this sorted out.",True,2025-08-24T13:32:40
10002-5,10002,50669,Any news?,True,2025-08-24T14:18:40
10002-6,10002,914,"I'm sorry for the trouble, checking your account now.",True,2025-08-24T15:03:40
10002-7,10002,50669,Following up on this.,True,2025-08-24T18:23:40
10002-8,10002,914,"Thanks for confirming, I've closed this out on our end.",True,2025-08-24T20:50:40
10002-9,10002,50669,"OK thank you, that answers my question.",True,2025-08-24T22:49:40
10003-1,10003,53095,"Hi, my delivery is running late, I ordered the phone case over a week ago.",True,2025-06-14T21:53:40
10003-2,10003,901,"Thanks for the details, give me a moment to check on this.",True,2025-06-14T22:27:40
10003-3,10003,53095,"Actually, sorry, let me explain the real issue. Just wanted to say thank you, my order arrived early adn in perfect condition.",True,2025-06-15T01:31:40
10003-4,10003,901,"I'm sorry for the trouble, checking your account now.",True,2025-06-15T03:55:40
10003-5,10003,53095,"OK, still waiting to hear back.",True,2025-06-15T06:14:40
10003-6,10003,901,"Thanks for the details, give me a moment to check on this.",True,2025-06-15T09:04:40
10003-7,10003,53095,Following up on this.,True,2025-06-15T11:57:40
10003-8,10003,901,"All set on our side now, thanks for your patience.",True,2025-06-15T14:42:40
10003-9,10003,53095,"Great, appreciate the quick resolution.",True,2025-06-15T16:24:40
10004-1,10004,50458,"I moved recently and my order #160738 is still set to go to my old address, can this be fixed?",True,2025-08-15T16:48:51
10004-2,10004,911,"I understand the frustration, let's get this sorted out.",True,2025-08-15T19:41:51
10004-3,10004,50458,Has the address been updated yet?,True,2025-08-16T00:32:51
10004-4,10004,911,"I'm sorry for the trouble, checking your account now.",True,2025-08-16T04:18:51
10004-5,10004,50458,Any news?,True,2025-08-16T07:30:51
10004-6,10004,911,"Thanks for the details, give me a moment to check on this.",True,2025-08-16T09:22:51
10004-7,10004,50458,Following up on this.,True,2025-08-16T11:24:51
10004-8,10004,911,"This has been taken care of, apologies again for the inconvenience.",True,2025-08-16T13:29:51
10004-9,10004,50458,"Perfect, thank you.",True,2025-08-16T13:42:51
10005-1,10005,50290,"Hi, I need to update the email address on my account.",True,2025-06-21T20:07:04
10005-2,10005,922,"I understand the frustration, let's get this sorted out.",True,2025-06-21T21:14:04
10005-3,10005,50290,I want to make sure I still get order notifications after the change.,True,2025-06-22T00:52:04
10005-4,10005,922,"I've resolved this on our end, please let us know if you need anything else.",True,2025-06-22T04:03:04
10005-5,10005,50290,Thanks for the help!,True,2025-06-22T05:34:04
