id,subject,description,status,priority,type,via_channel,tags,requester_id,assignee_id,group_id,created_at,updated_at,true_category_id_triage,true_category_id_final,taxonomy_version,is_drift_case,is_ambiguous_case,ambiguous_with_category_id,is_injected_new_category
10000,Package hasn't arrived yet,"Hi, my delivry is running late, I ordered the yoga mat over a week ago.",solved,low,task,web_widget,web,52619,903,1,2025-06-26T00:48:15,2025-06-26T14:45:15,ORD-002,ORD-002,1,False,False,,False
10001,Package hasn't arrived yet,Order #496922 was supposed to arrive on Jul 09 and it's stil not here. What's going on?,solved,normal,incident,web_widget,,51083,925,1,2025-07-12T19:37:34,2025-07-13T01:53:34,ORD-002,ORD-002,1,False,False,,False
10002,When will this be back in stock?,"Hi, the leather wallet shows as out of stock, do you know when it'll be available again?",solved,normal,incident,web_widget,,50669,914,1,2025-08-24T05:32:40,2025-08-24T22:49:40,PRD-004,PRD-004,1,False,False,,False
10003,Package hasn't arrived yet,"Hi, my delivery is running late, I ordered the phone case over a week ago.",solved,normal,question,web_widget,ecommerce,53095,901,2,2025-06-14T21:53:40,2025-06-15T16:24:40,ORD-002,GEN-003,1,True,False,,False
10004,Address correction for #160738,"I moved recently and my order #160738 is still set to go to my old address, can this be fixed?",solved,low,incident,web_widget,,50458,911,2,2025-08-15T16:48:51,2025-08-16T13:42:51,ORD-005,ORD-005,1,False,False,,False
10005,Update my account details,"Hi, I need to update the email address on my account.",solved,low,problem,email,,50290,922,1,2025-06-21T20:07:04,2025-06-22T05:34:04,ACC-002,ACC-002,1,False,False,,False
10006,Still waiting on refund for #392075,"I returned my order #392075 15 days ago adn haven't seen a refund yet, can you check?",closed,low,question,web_widget,"ecommerce,vip",51018,906,1,2025-07-11T20:00:08,2025-07-12T12:31:08,RET-002,RET-002,1,False,False,,False
10007,Can't log in,"Hi, I can't log into my account, it keeps saying my password is wrong even after resetting it.",solved,normal,problem,web_widget,,50234,901,1,2025-07-16T18:29:58,2025-07-17T05:43:58,ACC-001,ACC-001,1,False,False,,False
10008,Where is my order?,"Hello, just checking on the status of order #323508, it's been a few days and I haven't heard anything.",pending,normal,incident,web_widget,"priority,vip",50038,914,1,2025-07-22T05:52:06,2025-07-22T15:34:06,ORD-001,ORD-001,1,False,False,,False
10009,Return policy question,"Hi, quick question about your returns policy, can I return an item I already opened?",solved,high,incident,web_widget,,50833,921,1,2025-06-25T00:40:32,2025-06-25T11:59:32,RET-004,RET-004,1,False,False,,False
10010,Tracking question,"Hello, just checking on the status of order #475190, it's been a few days and I haven't heard anything.",pending,low,question,web_widget,,51262,911,2,2025-08-12T11:09:55,2025-08-12T22:30:55,ORD-001,ORD-001,1,False,False,,False
10011,Partial refund issue,"Hi, I was only refunded part of my order, can you check what happened? Hi, the amount charged to my card doesn't match my order total, can you check?",solved,normal,incident,web_widget,"mobile_app,ecommerce",53516,915,1,2025-08-14T07:51:58,2025-08-14T21:08:58,RET-003,RET-003,1,False,True,PAY-002,False
10012,Card not working at checkout,"Hi, I'm getting a payment error and can't finish my order.",open,normal,incident,web_widget,mobile_app,52129,925,1,2025-08-05T11:37:47,2025-08-06T01:05:47,PAY-001,PAY-001,1,False,False,,False
10013,Incorrect charge amount,"Hi, the amount charged to my card doesn't match my order total, can you check?",solved,urgent,question,web_widget,"web,priority",52244,900,1,2025-06-20T03:09:27,2025-06-20T08:21:27,PAY-002,PAY-002,1,False,False,,False
10014,Delivery delay on #821024,Order #821024 was supposed to arrive on Jul 06 and it's still not here. What's going on?,closed,normal,problem,email,"mobile_app,priority",52942,922,1,2025-07-07T09:03:15,2025-07-08T07:25:15,ORD-002,RET-004,1,True,False,,False
10015,Incomplete package,"I just opened my package for order #435239 adn the running shoes is missing, only the rest of the items were inside.",solved,normal,task,email,priority,51124,914,1,2025-06-27T00:10:15,2025-06-27T21:11:15,ORD-004,ORD-004,1,False,False,,False
10016,Product arrived defective,The yoga mat I ordered stopped working after 8 days of normal use.,solved,normal,question,email,,52548,917,1,2025-07-06T20:45:37,2025-07-07T06:22:37,PRD-001,PRD-001,1,False,False,,False
10017,Partial refund issue,I got refunded for order #219946 but the amount is way less than what I paid.,solved,high,question,email,"ecommerce,vip",50816,900,1,2025-06-22T17:06:08,2025-06-23T05:17:08,RET-003,RET-003,1,False,False,,False
10018,This isn't what I ordered,"Hi, the color/size I received doesn't match order #113266 at all.",solved,low,task,web_widget,"mobile_app,vip",52182,913,1,2025-06-07T06:38:32,2025-06-07T15:07:32,PRD-002,PRD-002,1,False,False,,False
10019,Package hasn't arrived yet,Order #936587 was supposed to arrive on Jun 08 and it's still not here. What's going on?,closed,normal,problem,web_widget,"web,vip",50117,915,2,2025-06-17T13:14:31,2025-06-18T00:03:31,ORD-002,ORD-002,1,False,False,,False
